candidate_id,model,prompt_arn,actual_model_id,translation_latency_ms,policy_pass,policy_violations
3d0d30f3e1b232bf,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1157.08,True,[]
7c0514bbb6e1893e,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1065.07,True,[]
dbadfc814aae7b4a,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1031.1,True,[]
cdb02405596b21e9,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1110.99,True,[]
7678a91b2dd9ea77,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1017.81,True,[]
250be8481bac39f2,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1134.34,True,[]
4e69c06967fe0577,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1417.13,True,[]
d4a3c7c95a010e69,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1199.78,True,[]
eb781e6f68d0febf,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1130.59,False,"[{""code"":""source_copied""}]"
27453f4e050ffa2d,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1218.31,True,[]
2a62062e6552c15d,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1130.53,True,[]
41d3a9a94a03074a,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1489.89,True,[]
1d8598e36f3cd276,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1245.43,True,[]
ad7cd9cc8871d1ec,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1554.91,True,[]
8cfcb2e0c9c3dd7b,claude-haiku-4-5,arn:aws:bedrock:us-west-2:686465264859:prompt/7ZJL56AKIU,arn:aws:bedrock:us-west-2:686465264859:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1255.47,False,"[{""code"":""number_not_preserved"",""expected"":{""９５"":1},""actual"":{""95"":1}}]"
